ndvi,sr,rendvi,vog1,vog2,vog3,bri,mcari,mcari2,mtvi,mtvi2,tcari,tvi,ari1,ari2,wbi,ndwi,msi,ndii,clsi,mcai,osvi,gemi,dvi,gdvi,gndvi,grvi,ipvi,rdvi,msr,nli,mnli,savi,tdvi,gmi1,gmi2,g,lic1,nri1510,nri1850,wi,dwsi4,crt2,zmi,lsi,pri,ndci
0.3582,2.1503,0.2931,1.3116,-0.0852,-0.0896,-1.1148,0.0405,0.5799,1.0482,0.4639,0.0162,32.5047,-0.9787,-0.8635,1.0077,0.0186,1.0077,0.1241,-0.9072,-2838.259,0.3609,0.3609,0.4596,0.1889,0.1204,1.2766,0.6791,0.4055,0.6411,0.2957,0.3118,0.3873,0.9257,1.1697,1.9505,1.6302,0.3568,0.0504,0.3357,0.5325,1.6648,0.4925,1.693,1.0168,0.0631,0.0519
0.331,2.0091,0.2361,1.1959,-0.0455,-0.0472,-0.935,0.0459,0.5204,0.928,0.4163,0.048,29.6196,-0.7869,-0.6632,1.0038,0.0132,1.0038,0.1036,-0.9253,-2795.201,0.3212,0.3212,0.4216,0.1724,0.1126,1.255,0.6655,0.3719,0.5775,0.2535,0.2638,0.3556,0.9111,1.1667,1.7848,1.5717,0.3294,0.0425,0.2924,0.5833,1.6078,0.5265,1.4676,1.0115,0.0457,0.0079
0.3644,2.1794,0.291,1.263,-0.066,-0.0691,-1.2014,0.0444,0.5828,1.0105,0.4662,0.0288,33.0878,-1.0043,-0.8423,0.9983,0.0014,0.9983,0.0868,-0.9377,-3096.4,0.3557,0.3557,0.4404,0.1639,0.1082,1.2446,0.6822,0.3973,0.6547,0.2764,0.2799,0.3872,0.9291,1.1851,2.0037,1.6773,0.364,0.0822,0.3287,0.5665,1.7194,0.4748,1.6243,1.0384,0.0577,0.0388
0.3169,1.9401,0.2548,1.2321,-0.0571,-0.057,-0.9302,0.0414,0.5129,0.9452,0.4103,0.0311,31.1246,-0.8174,-0.6793,1.0028,0.0103,1.0028,0.0975,-0.9307,-3427.934,0.3153,0.3153,0.4205,0.1763,0.1135,1.2593,0.6584,0.3695,0.5455,0.2515,0.2656,0.3419,0.9035,1.1981,1.8144,1.5402,0.317,0.0545,0.2898,0.5817,1.5703,0.5255,1.5535,1.0216,0.0432,0.02
0.3273,1.9917,0.2661,1.2542,-0.0631,-0.0659,-1.0813,0.0441,0.5289,0.9281,0.4231,0.0369,30.1974,-0.8856,-0.7274,1.0008,0.0097,1.0008,0.0859,-0.8981,-2166.5868,0.3235,0.3235,0.4027,0.1429,0.0957,1.2134,0.6637,0.363,0.5693,0.2327,0.2277,0.3491,0.9092,1.1661,1.8544,1.5724,0.3272,0.0607,0.2993,0.574,1.6143,0.5152,1.5779,1.0275,0.0524,0.0365
0.3608,2.1549,0.279,1.2489,-0.0575,-0.06,-1.2338,0.0453,0.5883,1.0374,0.4707,0.0307,32.4785,-1.0306,-0.864,1.0028,0.0089,1.0028,0.0986,-0.9407,-2417.9148,0.3557,0.3557,0.447,0.1614,0.1043,1.2349,0.6804,0.4023,0.6447,0.2835,0.2932,0.3843,0.928,1.1402,1.9425,1.7026,0.3608,0.0699,0.3241,0.5506,1.7402,0.4875,1.5833,1.0246,0.0548,0.0325
0.3584,2.1452,0.2853,1.2853,-0.0736,-0.0772,-1.1903,0.0397,0.5808,1.0061,0.4646,0.017,31.2251,-1.0305,-0.8699,1.0038,0.0098,1.0038,0.1081,-0.9055,-2497.9462,0.3554,0.3554,0.4362,0.1745,0.1143,1.2615,0.6792,0.3953,0.6414,0.2767,0.2867,0.3795,0.9259,1.1513,1.9495,1.6571,0.357,0.061,0.3301,0.5442,1.696,0.493,1.6516,1.0268,0.0526,0.0517
0.3569,2.1373,0.2932,1.2965,-0.0882,-0.0929,-1.0899,0.0382,0.5753,1.0433,0.4602,0.0121,32.1777,-0.9757,-0.869,0.9896,0.0224,0.9896,0.1306,-0.8906,-3077.7537,0.3586,0.3586,0.4672,0.2001,0.1263,1.2731,0.6684,0.4067,0.6418,0.3072,0.3265,0.3863,0.9103,1.1508,1.9328,1.602,0.3557,0.0437,0.3346,0.5103,1.6402,0.4776,1.6828,0.992,0.0613,0.0484
0.3627,2.1695,0.2925,1.2941,-0.0772,-0.0811,-1.1506,0.0404,0.575,1.0333,0.46,0.0175,32.3927,-0.9943,-0.8697,1.0069,0.018,1.0069,0.1162,-0.9108,-3087.4847,0.3611,0.3611,0.459,0.1932,0.1252,1.2891,0.6813,0.4079,0.6504,0.2952,0.3092,0.3898,0.9282,1.1802,1.9684,1.6426,0.3614,0.0628,0.3362,0.5473,1.6789,0.4908,1.6683,1.011,0.0616,0.0454
0.3682,2.2169,0.3042,1.3309,-0.0912,-0.0962,-1.1864,0.0378,0.5862,1.0585,0.469,0.0101,32.7637,-1.0602,-0.9164,1.0095,0.0217,1.0095,0.1308,-0.9036,-3211.1677,0.3712,0.3712,0.4776,0.2059,0.1324,1.3082,0.6841,0.418,0.6651,0.3153,0.3333,0.3988,0.9321,1.1837,2.0102,1.6488,0.3693,0.0497,0.3463,0.5152,1.6883,0.4798,1.7332,1.0084,0.0636,0.0543
0.3773,2.2453,0.3098,1.3305,-0.0908,-0.0957,-1.1664,0.0393,0.6018,1.0862,0.4815,0.0126,33.7633,-1.0378,-0.9274,1.0095,0.0218,1.0095,0.1301,-0.9198,-3493.5834,0.378,0.378,0.4852,0.2116,0.1344,1.3141,0.6886,0.4277,0.6859,0.3229,0.3416,0.4073,0.9359,1.1897,2.0342,1.6629,0.3762,0.0555,0.3512,0.5191,1.6998,0.4721,1.7416,1.0084,0.0628,0.0525
0.3403,2.0534,0.2921,1.2834,-0.0732,-0.0768,-1.0885,0.0367,0.5605,0.9918,0.4484,0.009,31.9849,-0.9375,-0.8185,1.0028,0.0074,1.0028,0.0947,-0.9183,-3096.0485,0.3461,0.3461,0.4327,0.1734,0.1129,1.2568,0.6702,0.3879,0.5982,0.2671,0.2796,0.3663,0.9162,1.1793,1.946,1.5806,0.3399,0.0594,0.3181,0.5495,1.6182,0.5,1.6551,1.0325,0.0485,0.0486
0.3623,2.2024,0.2981,1.3223,-0.0905,-0.0953,-1.1126,0.0392,0.5859,1.0632,0.4687,0.0122,32.8234,-0.9902,-0.8811,1.0097,0.0228,1.0097,0.1336,-0.9135,-3201.9029,0.364,0.364,0.4805,0.2055,0.1293,1.3003,0.6811,0.4131,0.6646,0.3174,0.3373,0.3923,0.9279,1.1761,1.9921,1.6326,0.3611,0.0436,0.3395,0.5216,1.673,0.4888,1.7149,1.0119,0.0628,0.0496
0.3607,2.1649,0.2912,1.2904,-0.075,-0.0788,-1.0878,0.0401,0.5721,1.0351,0.4577,0.021,32.6686,-0.9404,-0.8328,1.0074,0.0174,1.0074,0.1156,-0.9221,-3554.0155,0.3612,0.3612,0.4669,0.209,0.1315,1.311,0.6804,0.4102,0.6473,0.3031,0.3211,0.3901,0.927,1.2032,1.9651,1.6122,0.3593,0.064,0.3358,0.5501,1.646,0.4895,1.666,1.0115,0.0567,0.0429
0.3345,2.0152,0.2648,1.2265,-0.0628,-0.0656,-1.0487,0.0383,0.5394,0.9622,0.4315,0.0182,30.0152,-0.8879,-0.7681,0.9835,0.012,0.9835,0.1031,-0.885,-2532.9053,0.3315,0.3315,0.4233,0.1691,0.11,1.2301,0.6572,0.3761,0.5879,0.2605,0.2721,0.3594,0.8985,1.1293,1.8211,1.5652,0.3328,0.061,0.3081,0.5577,1.6031,0.5032,1.5494,0.9988,0.0566,0.0389
0.351,2.1102,0.287,1.2743,-0.0676,-0.0709,-1.1203,0.0407,0.5678,1.0045,0.4542,0.0186,32.9551,-0.9612,-0.8275,1.0011,0.0061,1.0011,0.0924,-0.9358,-3229.7627,0.3419,0.3419,0.4446,0.1734,0.1135,1.2586,0.6755,0.3908,0.6235,0.2801,0.293,0.3773,0.9219,1.1824,1.9607,1.6384,0.3509,0.0606,0.3193,0.5373,1.6772,0.4895,1.6318,1.0345,0.0536,0.0402
0.3289,1.9921,0.2572,1.2444,-0.0618,-0.0644,-1.0198,0.0388,0.5272,0.9363,0.4218,0.0215,29.4623,-0.8521,-0.7133,1.005,0.0143,1.005,0.1024,-0.8921,-2533.2801,0.3241,0.3241,0.4173,0.1637,0.1083,1.2443,0.6644,0.3686,0.5709,0.2506,0.2603,0.3528,0.9101,1.152,1.8115,1.5663,0.3276,0.0594,0.3054,0.586,1.5996,0.5248,1.552,1.013,0.053,0.0351
0.3207,1.9433,0.2368,1.1837,-0.0501,-0.052,-1.0274,0.0418,0.5124,0.9052,0.4099,0.0318,28.8042,-0.8332,-0.6773,0.9819,0.01,0.9819,0.0951,-0.8881,-2161.3575,0.3113,0.3113,0.3965,0.1453,0.0967,1.1958,0.6503,0.3565,0.5544,0.2321,0.239,0.3423,0.8911,1.1133,1.7534,1.5605,0.3195,0.064,0.2882,0.5853,1.5909,0.515,1.4534,1.0009,0.0514,0.0269
0.3496,2.1056,0.2677,1.2392,-0.0568,-0.0593,-1.0497,0.0435,0.5568,0.9999,0.4454,0.0316,31.802,-0.8979,-0.7737,1.0054,0.0127,1.0054,0.0997,-0.9373,-3139.282,0.3448,0.3448,0.4462,0.184,0.118,1.2718,0.6748,0.3947,0.6209,0.2796,0.2942,0.3765,0.9212,1.1796,1.8956,1.6158,0.348,0.0682,0.3176,0.5646,1.6511,0.5029,1.5657,1.0196,0.0479,0.0313
0.365,2.185,0.2943,1.2935,-0.0758,-0.0796,-1.0797,0.0407,0.5797,1.0464,0.4637,0.0205,33.0345,-0.9663,-0.8544,1.0071,0.0178,1.0071,0.1175,-0.9293,-3513.3565,0.3643,0.3643,0.4769,0.2056,0.1335,1.3054,0.6825,0.414,0.6567,0.3064,0.3314,0.3941,0.9294,1.1986,1.9815,1.6326,0.364,0.0647,0.3387,0.5453,1.6679,0.4848,1.674,1.0107,0.0583,0.0418
0.3502,2.0987,0.27,1.2401,-0.0568,-0.0593,-1.2357,0.0449,0.5695,0.9925,0.4556,0.0319,31.4974,-1.0103,-0.8289,1.003,0.0079,1.003,0.0971,-0.9144,-2029.4137,0.3431,0.3431,0.4295,0.1471,0.0983,1.2202,0.6751,0.3889,0.6197,0.2641,0.2709,0.3716,0.9216,1.128,1.8929,1.6845,0.3484,0.0699,0.316,0.5647,1.7241,0.4981,1.5654,1.0261,0.0524,0.0374
0.3567,2.1366,0.2642,1.222,-0.0514,-0.0535,-1.1113,0.0464,0.5691,1.0128,0.4553,0.0356,32.4244,-0.9422,-0.8028,1.0019,0.0093,1.0019,0.1035,-0.9449,-2846.3879,0.3484,0.3484,0.447,0.1725,0.1118,1.255,0.6783,0.3991,0.636,0.2818,0.2938,0.3822,0.925,1.1737,1.9041,1.6628,0.3549,0.0582,0.3194,0.5485,1.7039,0.496,1.5362,1.0263,0.0497,0.0213
0.3405,2.0454,0.2836,1.2662,-0.0654,-0.0684,-1.1597,0.0384,0.5594,0.9901,0.4476,0.016,32.0609,-0.974,-0.8201,1.0013,0.0035,1.0013,0.0871,-0.9271,-2267.098,0.3368,0.3368,0.4246,0.1543,0.1011,1.2274,0.6702,0.3774,0.5965,0.2583,0.268,0.3638,0.9159,1.1584,1.9313,1.6293,0.3393,0.0621,0.3031,0.5596,1.667,0.4992,1.6111,1.0377,0.0442,0.0465
0.3324,2.0155,0.2794,1.2696,-0.0682,-0.0713,-1.0531,0.0353,0.5388,0.9627,0.431,0.015,31.1773,-0.8956,-0.7634,1.0029,0.0073,1.0029,0.0942,-0.9079,-3037.0454,0.3329,0.3329,0.423,0.1709,0.1118,1.261,0.6662,0.3749,0.5805,0.2564,0.2682,0.3578,0.9119,1.1831,1.9036,1.5685,0.3318,0.0503,0.3046,0.5499,1.597,0.5094,1.6145,1.0342,0.0354,0.044
0.3659,2.1895,0.2968,1.3023,-0.0787,-0.0828,-1.0913,0.0398,0.5802,1.0435,0.4642,0.0187,32.7555,-0.9599,-0.8651,1.0087,0.0205,1.0087,0.121,-0.9178,-3385.4766,0.3662,0.3662,0.4684,0.2069,0.1331,1.3101,0.6829,0.4138,0.6588,0.3049,0.3256,0.3944,0.9298,1.1976,1.9858,1.6145,0.3647,0.0622,0.341,0.5425,1.6499,0.484,1.6878,1.0078,0.0599,0.0439
0.3328,2.003,0.2579,1.2407,-0.0595,-0.062,-0.9594,0.0384,0.5207,0.9443,0.4166,0.0242,29.9156,-0.8023,-0.6892,1.0047,0.0141,1.0047,0.1017,-0.9148,-3187.3391,0.3295,0.3295,0.4251,0.1854,0.1206,1.2762,0.6664,0.3744,0.5748,0.2589,0.2724,0.3596,0.9121,1.1942,1.8225,1.529,0.3311,0.0616,0.3033,0.5863,1.5666,0.5236,1.5501,1.0137,0.0476,0.0325
0.3272,1.983,0.2416,1.2078,-0.0511,-0.053,-1.0483,0.0426,0.5229,0.9237,0.4183,0.0324,29.3921,-0.8502,-0.6911,1.0019,0.0102,1.0019,0.097,-0.9062,-2205.4668,0.3177,0.3177,0.4046,0.1483,0.0987,1.2202,0.6636,0.3638,0.5657,0.2369,0.2439,0.3493,0.9092,1.136,1.7892,1.5924,0.326,0.0653,0.294,0.5972,1.6234,0.5255,1.483,1.0213,0.0524,0.0274
0.3642,2.1809,0.2992,1.3229,-0.09,-0.0947,-1.1121,0.039,0.587,1.0646,0.4696,0.0124,32.8344,-0.9956,-0.8867,1.0098,0.0229,1.0098,0.1333,-0.9088,-3140.565,0.3659,0.3659,0.4768,0.2042,0.1288,1.2991,0.6821,0.415,0.6549,0.3135,0.3332,0.3942,0.9289,1.1743,1.9723,1.6347,0.363,0.0445,0.3414,0.5207,1.6737,0.4873,1.7172,1.0122,0.0626,0.0494
0.365,2.1724,0.2963,1.3073,-0.082,-0.0869,-1.1066,0.0384,0.5764,1.0487,0.4612,0.0124,32.5616,-0.9732,-0.8601,1.0073,0.0186,1.0073,0.1189,-0.9148,-3444.5806,0.3662,0.3662,0.4669,0.2068,0.132,1.3079,0.6825,0.4109,0.6504,0.3033,0.3208,0.391,0.9293,1.1935,1.9758,1.6207,0.3639,0.0635,0.3404,0.5391,1.6585,0.4847,1.6951,1.0103,0.0569,0.0507
0.3177,1.9372,0.25,1.2295,-0.0656,-0.0684,-0.9749,0.0368,0.5124,0.9162,0.4099,0.0169,28.4174,-0.8221,-0.6876,0.983,0.0106,0.983,0.1014,-0.8645,-2430.4651,0.316,0.316,0.4047,0.1655,0.1083,1.2255,0.6488,0.3585,0.551,0.2428,0.254,0.3421,0.8893,1.1239,1.7536,1.5137,0.3163,0.0519,0.2953,0.5677,1.5415,0.5213,1.5353,1.0022,0.0537,0.0462
0.3607,2.169,0.283,1.2613,-0.0617,-0.0645,-1.1831,0.0423,0.5807,1.009,0.4646,0.0229,31.798,-0.9965,-0.8755,1.0034,0.0095,1.0034,0.0961,-0.923,-2549.9935,0.3552,0.3552,0.4387,0.1659,0.1086,1.2465,0.6804,0.3937,0.6481,0.2726,0.283,0.3854,0.927,1.1518,1.9623,1.6814,0.3596,0.0735,0.3281,0.5628,1.7218,0.4887,1.6148,1.0244,0.0524,0.0433
0.3508,2.105,0.2827,1.2795,-0.0716,-0.075,-1.1823,0.0384,0.5644,0.997,0.4515,0.0124,30.8619,-1.0075,-0.8623,1.0029,0.0086,1.0029,0.1013,-0.9018,-2248.9133,0.348,0.348,0.4325,0.1596,0.105,1.2368,0.6754,0.3879,0.6257,0.267,0.2768,0.375,0.9216,1.1381,1.9274,1.6466,0.3496,0.0574,0.3208,0.5415,1.6738,0.5052,1.632,1.0249,0.0555,0.0572
0.3431,2.0685,0.2753,1.2538,-0.0596,-0.0623,-1.1072,0.0447,0.5513,0.9758,0.4411,0.0297,32.0377,-0.93,-0.7835,1.001,0.0061,1.001,0.0911,-0.9384,-2863.7733,0.3383,0.3383,0.4273,0.1595,0.1048,1.2358,0.6716,0.38,0.6048,0.2608,0.2704,0.3645,0.9177,1.1762,1.9208,1.6298,0.3436,0.0675,0.3103,0.5677,1.669,0.4987,1.5937,1.0327,0.0458,0.0312
0.3344,2.0232,0.2493,1.2268,-0.0561,-0.0584,-1.0222,0.0432,0.5384,0.959,0.4307,0.0356,30.1177,-0.8582,-0.7227,1.0042,0.012,1.0042,0.1082,-0.9132,-2428.2653,0.3299,0.3299,0.4247,0.1628,0.1061,1.2393,0.6672,0.3754,0.5845,0.2582,0.2689,0.359,0.913,1.1448,1.8101,1.6027,0.3327,0.0473,0.3019,0.5718,1.6364,0.5202,1.5228,1.0192,0.0526,0.0228
0.326,1.9864,0.2705,1.2548,-0.0632,-0.066,-0.9277,0.0355,0.5265,0.9685,0.4212,0.0129,31.182,-0.7933,-0.7085,1.0016,0.0015,1.0016,0.0838,-0.9285,-3530.5659,0.3278,0.3278,0.4299,0.1887,0.1201,1.277,0.663,0.3699,0.5666,0.2623,0.2794,0.3497,0.9084,1.2015,1.8535,1.5271,0.3254,0.0647,0.2941,0.5712,1.5543,0.5228,1.5752,1.0364,0.0381,0.0521
0.3677,2.1817,0.2997,1.2943,-0.0763,-0.0801,-1.2987,0.0387,0.5929,1.0462,0.4743,0.0078,32.4394,-1.104,-0.9243,1.0059,0.0158,1.0059,0.1126,-0.9106,-2235.7187,0.3609,0.3609,0.4551,0.175,0.1148,1.2621,0.6839,0.409,0.6647,0.2918,0.3027,0.3927,0.9308,1.15,1.9904,1.6781,0.3664,0.052,0.3385,0.5281,1.7217,0.4874,1.6751,1.0188,0.0535,0.0454
0.372,2.2226,0.3065,1.3243,-0.088,-0.0927,-1.1923,0.0389,0.5947,1.0643,0.4758,0.0132,33.1239,-1.0433,-0.9224,1.0091,0.0222,1.0091,0.1285,-0.9091,-3136.5441,0.3729,0.3729,0.4674,0.2005,0.1297,1.301,0.686,0.4153,0.6734,0.3053,0.32,0.4001,0.9331,1.1818,2.0188,1.6614,0.371,0.0506,0.3443,0.5248,1.699,0.4762,1.733,1.0078,0.0623,0.0489
0.3567,2.1424,0.2911,1.3062,-0.0845,-0.0888,-1.1056,0.0396,0.5763,1.036,0.461,0.0154,32.0915,-0.9666,-0.8491,1.0076,0.0185,1.0076,0.1246,-0.9043,-2870.5008,0.358,0.358,0.4563,0.1879,0.1201,1.2759,0.6783,0.4023,0.6375,0.2922,0.3082,0.3835,0.9249,1.1679,1.9348,1.621,0.3554,0.0472,0.3335,0.5343,1.6579,0.4955,1.6856,1.0166,0.0627,0.0503
0.3308,2.0031,0.2455,1.2173,-0.0536,-0.0557,-1.0353,0.0429,0.5306,0.9413,0.4245,0.034,29.7549,-0.8542,-0.7069,1.003,0.0111,1.003,0.1026,-0.9097,-2316.866,0.3238,0.3238,0.4146,0.1556,0.1024,1.2297,0.6654,0.3696,0.5751,0.2475,0.2564,0.3542,0.9111,1.1404,1.7997,1.5976,0.3294,0.0563,0.298,0.5845,1.6299,0.5229,1.5029,1.0203,0.0525,0.0251
0.3549,2.1249,0.2852,1.2656,-0.064,-0.0671,-1.1077,0.0449,0.5722,1.0382,0.4578,0.0306,34.1219,-0.9245,-0.8156,1.0025,0.0088,1.0025,0.1014,-0.9517,-3387.2708,0.3551,0.3551,0.4482,0.1734,0.112,1.2544,0.6775,0.4051,0.6312,0.283,0.296,0.3871,0.9241,1.1926,1.9671,1.6512,0.355,0.0645,0.3261,0.5583,1.689,0.4839,1.6305,1.0267,0.0516,0.0258
0.3357,2.0272,0.2529,1.2188,-0.0505,-0.0526,-1.1271,0.0461,0.5405,0.9511,0.4324,0.0369,30.0671,-0.8981,-0.7391,0.9994,0.0043,0.9994,0.0845,-0.9123,-2311.9231,0.3277,0.3277,0.4138,0.1383,0.0928,1.2058,0.6679,0.3726,0.5868,0.2445,0.2522,0.3581,0.9138,1.1214,1.8269,1.6139,0.3342,0.0762,0.3022,0.5908,1.6512,0.518,1.5141,1.0278,0.0505,0.037
0.3634,2.192,0.2972,1.3032,-0.0802,-0.0843,-1.1933,0.0375,0.5836,1.0455,0.4669,0.01,32.4288,-1.0387,-0.9091,1.0055,0.0154,1.0055,0.1158,-0.9155,-2908.554,0.363,0.363,0.4619,0.193,0.1239,1.2869,0.6817,0.4095,0.6567,0.298,0.3132,0.3909,0.9283,1.1695,1.9923,1.6671,0.3618,0.0538,0.3375,0.5182,1.6953,0.4892,1.6929,1.0213,0.0516,0.0562
